"text","class"
"15 Pro ของผมไม่เจอปัญหาเครื่องร้อนแฮะ (ชาร์จร้อนน้อยกว่า i11 LN อีก) จะร้อนก็ตอนเล่นเกม (ArenaBrekout) ที่ร้อนจนสัมผัสได้ ซึ่งปกติ(ก็ปรับภาพอัลตร้าขนาดนั้น) แบตก็ลดตามปกติตามการใช้งาน","0"
"เร็ว แรง ก็ย่อมมากับ รั้อน","0"
"ผมปกตินะ เจอตอนแรกๆ ช่วงวันแรก ผ่านมาก็ทั่วๆไป รู้สึกว่าแบตดีกว่า 14PM อีก","0"
"พอมัน compatible กับอย่างอื่นได้ มันใช้ได้ง่ายและหลากหลายมากขึ้นเลยครับ","0"
"เรื่องเกมคอนโซล ถือว่าทำได้ดีมากๆแล้ว ในคุณภาพระดับนี้ ภาพ720p fram30 มีray tracing/up scale เอาเกมคอนโซลมาเล่นบนมือถือไม่ใช้แอพช่วย วัดได้หลายอย่างครับ อย่าลืมว่าชิปมือถือไม่เหมือนการ์ดจอคอมเป็นธรรมดาที่มือถือจะพัฒนาช้ากว่า รอบนี้ถือเป็นจุดเปลี่ยนใหญ่ให้สมาร์ทโฟนหลายรุ่น","0"
"ชอบๆๆ อยากได้มากก","0"
"ขอบจอที่โคตรบางงงงงงง เทพจริง","0"
"สวยถูกใจผมมากจัดมาละครับออกจากช้อปไปติดฟิล์มกระจกของเอเบิลเม็นรุ่นใหม่กระจกคริสตัสทันที กันกระแทกเยี่ยมมากๆ คุณภาพคุ้มราคาครับได้รับประกัน 5 ปี","0"
"เป็นรุ่นใหม่ที่น่าซื้อมาก","0"
"ชอบความต่อเข้าจอดูเน็ตฟลิกอะ เริ่ดเกิน","0"
"สวยจัดครับ","0"
"แบบนี้รุ่นเริ่มต้นขายดีแน่นอน เพราะอุปกรณ์สามารถ third party ได้ ดีงามจริงๆ","0"
"สีสวย หน้าตาดูดีจริงค่ะ แต่สเปค หลายๆ ตัวของแอนดรอยด์ไปไกลกว่าเยอะ จริงๆ ค่ะ","0"
"หนูผู้เป็นสาวกแอนดรอยด์เช่นเดียวกันกับพี่ณดุจหนูก็ว่า IP15 สีสวยจริงๆค่ะ สวยแบบอยากได้เลย จากใจคนไม่เคยใช้ Iphone","0"
"เรื่องสีนี่สุดยอดจริงๆ สาวก ซซ หวั่นไหวเพราะสีเช่นกันค่ะ แล้วขนาดไม่ใช่คนใช้ของสีชมพู ยังอยากได้สีชมพูเลย","0"
"ของใหม่ยังไงก็ดึงดูดกว่า","0"
"ไปจับตัวจริงมา สีสวยมาก ประกอบกับวัสดุที่ดูมีคุณภาพ มันละมุนสุดๆ","0"
"ไอโฟนก็ยังเป็นไอโฟน","0"
"สีมันสวยค่ะ ตอนนี้ใช้ 13 ธรรมดาสีชมพูอยู่ ทั้งที่ตอนนั้นจะซื้อ 13 pro ก็ได้ แต่ไม่เอาเพราะไม่ชอบสี
อีกอย่าง ตัว Pro มันหนักด้วย ถือแล้วปวดข้อมือค่ะ","0"
"บอกตรงๆนะผมใช้มาถ่ายยังไงก็โอเคคือแบบว่าแทบทุกคนเล่นจ้องภาพกันจริงท่าเปรียบแอนดรอยแพงๆมันก็เป็น5555นักรีวิวติ่งทุกรุ่นทุกยี่ห้ออย่าว่าผมนะครับเพราผมก็ใช้14pmอมเหลืองมันก้ต้องดูด้วยถ่ายตรงไหนส่วนตัวผมชอบกล่องไอโฟนครับ","0"
"เราจัดมาแล้วค่ะเดิน walk in เข้าไปดูสีจริงเช็คอะไรนิดหน่อยโอเคก็ซื้อเลย รุ่นธรรมดา/พลัสของมีเยอะ","0"
"จัดมาแล้วค่ะกับน้องi15สีเขียว​ น่ารักมากกกกกก","0"
"ไป 15 ดีแล้วครับถ้าไม่เอาดูหรู กับเสี่ยงเรื่องจอเสีย","0"
"เอาจริงมันแพงเพราะชอฟแวร์เขา  คนชอบบ่นแพงแค่ก็ไปยืนไข่แฉะเป็นหนึ้เพราะมัน","0"
"สำหรับคนที่บ่นเรื่องความร้อนมันคงปฏิเสธไม่ได้อยู่แล้ว และเชื่อว่าเค้าไม่ได้เอาเรื่องนี้มาเป็นจุดขายหลักแต่ทำขึ้นมาเพื่อความก้าวหน้าทางเทคโนโลยีต่างหาก จะให้เพิ่มแรม เพิ่มกล้อง เพิ่มความจุไปเรื่อยไปมันก็คงจะไม่มีความเปลี่ยนแปลง","0"
"คิดว่าคงใช้เป็น gimmick ให้เครื่องเฉยๆ ไม่ได้กะเอามาให้คนใช้เล่นจริงๆจังๆแน่นอน ยังไงก็ไม่มีทางทำได้ตามสเป็คกระดาษ เพราะความร้อนคือปัญหาหลัก
แต่เครื่องสเป็คแรงขึ้นก็ถือว่าเป็นเรื่องดีแหละ","0"
"Black Titanium สวยมากครับ ติดฟิล์มกันรอยรอบเครื่อง ใส่เคสใส ออกมาดีเลยครับ","0"
"ไฟฉายดีมากเลยครับ เอาไว้ส่องคอ คนไข้ ไม่ต้องสัมผัสหน้าจอ ผ่านถุงมือ ที่รูดหน้าจอไม่ค่อยติด","0"
"แค่รู้ว่าเล่นเกม AAA ได้ก็ว้าวแล้วครับ รอดูเลยว่าของจริงจะทำได้ขนาดไหน แต่ว่าคงไม่มีใครซื้อเพราะอยากเล่นเกมหรอกมั้งครับ เพราะในราคาเท่านี้คุณได้ P5 พร้อมจอ 4k หรือจะเอา PC มาเล่นเกมก็ยังได้ หรือจะเอาเครื่องเกมพกพาราคานี้ยังเหลือทอนไว้ซื้อเกมด้วย😂😂","0"
"ผมกลับชอบ การที่มีขอบข้างๆนิดนึง เอาไว้จับ ไม่งั้นมือจะบังบางส่วนของจอ","0"
"ดีทุกอย่างเลยครับ 15ออกมารอบนี้ ชอบกล้องมากกก","0"
